ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	PWK_logFC	PWK_FDR	B6J_logFC	B6J_FDR	CAST_logFC	CAST_FDR
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	-7.4346527734272465	3.840038136919054e-29	-0.11141431832588829	0.1702216621869804	-1.8598169277390026	7.355391751030959e-20
ENSMUSG00000035686	Thrsp	Thrsp	21835	thyroid hormone responsive	-5.884135876197133	7.762503134424595e-26	0.2877918479164958	0.0013114828056015114	-0.1637598887535711	0.04271169559261002
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	6.715485788053857	3.3522838532100937e-25	-0.3394093856019566	0.39209249026553145	7.3264105913813005	3.554501495143319e-26
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	-4.131946589178694	3.3620058104416614e-24	-0.7584872089652696	2.912843098009045e-10	-3.4461874610176424	3.5065924499678e-24
ENSMUSG00000079110	Capn3	Capn3	12335	calpain 3	5.0866374469304345	5.798534513612723e-24	4.736217464316337	7.028067205418242e-23	1.2558330267256839	2.9096681278810747e-10
ENSMUSG00000032878	Ccdc85a	Ccdc85a	216613	coiled-coil domain containing 85A	11.551652931405885	1.7780653775475506e-23	-0.9526817140209562	0.6211408648295079	4.252768111134487	3.765401198257881e-7
ENSMUSG00000024044	Epb41l3	Epb41l3	13823	erythrocyte membrane protein band 4.1 like 3	5.779640235624138	2.4617036305151394e-23	3.3765408946444184	2.985656909304135e-17	3.192796064049049	3.013550051714279e-17
ENSMUSG00000022671	Mzt2	Mzt2	72083	mitotic spindle organizing protein 2	2.9894056229748682	2.830688800705243e-23	-0.12535178078230177	0.13934914523472233	1.935311898512107	5.2988449122460474e-20
ENSMUSG00000093190	Gm22875	NA	NA	NA	8.385929646273844	5.275305309996223e-23	-1.0933726442929543	0.26068749164062516	2.404188498269209	4.852119448044218e-7
ENSMUSG00000025576	Rbfox3	Rbfox3	52897	RNA binding protein, fox-1 homolog (C. elegans) 3	9.88298225089836	6.927919763116153e-23	3.800106035206243	2.479937357909913e-7	9.538905505262672	7.319171955035672e-23
ENSMUSG00000103653	Gm3934	NA	NA	NA	-11.606750122705197	7.991083454432585e-23	0.17713351621638995	0.13849077268318	0.2640492415928916	0.014831515386145194
ENSMUSG00000022332	Khdrbs3	Khdrbs3	13992	KH domain containing, RNA binding, signal transduction associated 3	-8.167422810595554	1.2710883056785293e-22	-0.4216965187394828	0.0017377730364510219	-0.373241885862665	0.0027287241381674697
ENSMUSG00000047963	Stbd1	Stbd1	52331	starch binding domain 1	7.023563191052021	1.2710883056785293e-22	2.4448153259505037	1.8241099268167584e-10	5.131240212871611	9.036559868661095e-20
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	13.753094484315014	1.6023346971962101e-22	1.9076636983239872	0.075358146825897	-0.32699137875261575	0.8168604903583024
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	-5.539850154240899	1.6628855593894318e-22	-5.444006672059039	7.028067205418242e-23	-4.3193087183600385	4.06881897792591e-22
ENSMUSG00000032717	Mdfi	Mdfi	17240	MyoD family inhibitor	-11.748762915454746	1.6747882853774341e-22	-2.006943283435546	6.339545332529573e-14	-3.152143870423526	2.3255970624709425e-18
ENSMUSG00000093249	Gm24576	NA	NA	NA	8.013825419990374	1.6747882853774341e-22	1.2488111337466747	0.012358309340164979	5.986932514433753	3.5145726807207225e-19
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-6.9455125225049565	2.393315715594956e-22	0.12479723976501851	0.3923480125808661	-3.2647638766886082	9.118285092864436e-19
ENSMUSG00000029207	Apbb2	Apbb2	11787	amyloid beta (A4) precursor protein-binding, family B, member 2	-6.094186183129727	2.6920289296899344e-22	0.02643999973746108	0.9191518182526968	-0.8355732765022347	1.3156207754012302e-8
ENSMUSG00000042249	Adrbk2	Grk3	320129	G protein-coupled receptor kinase 3	-4.802676107605996	3.306204292270095e-22	0.036028969661697365	0.7926469941600868	-4.8065588211349235	2.876178233362228e-23
ENSMUSG00000062609	Kcnj15	Kcnj15	16516	potassium inwardly-rectifying channel, subfamily J, member 15	-7.058244916201802	7.772530004756873e-22	-11.80255022668205	2.118796800315316e-22	-1.6404348568160236	9.72751526569411e-14
ENSMUSG00000100783	2310047D07Rik	NA	NA	NA	4.968586703460195	9.201543775702147e-22	0.49432620252666004	0.022157006790293882	0.7485600912157999	1.8342101579083906e-4
ENSMUSG00000038763	Alpk3	Alpk3	116904	alpha-kinase 3	-11.74734418357562	9.201543775702147e-22	-10.697446424254439	1.14420327599432e-21	-11.519400913430367	6.466180034785233e-23
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	-4.461565682704812	9.201543775702147e-22	1.1128958222460765	8.604128047790444e-11	-3.7814917805797306	7.364016577971222e-22
ENSMUSG00000028871	Rspo1	Rspo1	192199	R-spondin 1	-8.466550572568936	9.201543775702147e-22	-3.8556776692540056	1.568594592886707e-18	-5.026948704595731	3.529738181404445e-21
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	11.338775936021577	1.0637402107287931e-21	10.372311506265278	2.8850896552027887e-20	-1.527805015402139	0.2343366953164122
ENSMUSG00000002104	Rapsn	Rapsn	19400	receptor-associated protein of the synapse	-7.599304050595407	1.3532530161944736e-21	0.8157045345347782	1.5136026183270178e-7	-6.522927391886523	2.1760703257963933e-22
ENSMUSG00000028080	Lrba	Lrba	80877	LPS-responsive beige-like anchor	-3.05304969272265	1.5771789406122448e-21	-0.43465976500121634	1.667666800201139e-5	-3.275225971296622	3.172337845990098e-23
ENSMUSG00000043943	Naalad2	Naalad2	72560	N-acetylated alpha-linked acidic dipeptidase 2	-4.672677719645122	2.9587707484726e-21	-0.9715330417255854	4.383378644169434e-9	-6.469426084730151	5.365761011350192e-24
ENSMUSG00000001761	Smo	Smo	319757	smoothened, frizzled class receptor	-4.883535334591227	3.054935881558143e-21	0.17098174614552578	0.1834890749879679	-3.0682789339816976	2.502982198522703e-19
ENSMUSG00000057596	Trim30d	Trim30d	209387	tripartite motif-containing 30D	6.57339254698897	3.2741509137115924e-21	6.635366736675747	5.240008215149837e-21	2.628497137639886	6.885506741365662e-10
ENSMUSG00000020100	Slc29a3	Slc29a3	71279	solute carrier family 29 (nucleoside transporters), member 3	2.8699998391727775	4.3518763372533e-21	0.5897142936144795	4.700164729070033e-7	0.8172490451238195	4.842825324348448e-10
ENSMUSG00000025085	Ablim1	Ablim1	226251	actin-binding LIM protein 1	3.5203542035398843	5.4901663994658556e-21	2.0627427666492584	2.727982091767137e-15	3.0106309776574363	6.807531202472581e-20
ENSMUSG00000026483	Fam129a	Fam129a	63913	family with sequence similarity 129, member A	-6.657876960582947	8.756499892331845e-21	0.29338224521766954	0.03367616905311758	-4.043897042974049	7.406378309840155e-20
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.278392640157671	9.298909736469815e-21	0.02239679450201291	0.8702293769159879	-3.4193623817259233	2.004293081264217e-22
ENSMUSG00000021773	Comtd1	Comtd1	69156	catechol-O-methyltransferase domain containing 1	-2.735012471251589	1.0195467715775425e-20	-0.3266788962824354	4.370101861809859e-4	0.25442833256399167	0.0024779576832599905
ENSMUSG00000078153	Psme2b	Psme2b	621823	protease (prosome, macropain) activator subunit 2B	-8.061541634468622	1.4506997926935867e-20	0.014214871051352041	0.9464801536606106	-7.847633258957116	1.262148735642774e-21
ENSMUSG00000040612	Ildr2	Ildr2	100039795	immunoglobulin-like domain containing receptor 2	-5.7951043205186465	1.5723792177077322e-20	-0.92707695289908	1.8622161062947762e-7	-4.311654437833958	2.7364008676759483e-20
