ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	PWK_logFC	PWK_FDR	B6J_logFC	B6J_FDR	CAST_logFC	CAST_FDR
ENSMUSG00000017002	Slpi	Slpi	20568	secretory leukocyte peptidase inhibitor	10.38537650704633	1.3773368739674705e-46	-0.931595453920851	0.8737332946572807	0.786304258725333	0.7490186686299217
ENSMUSG00000027014	Cwc22	Cwc22	80744	CWC22 spliceosome-associated protein	-6.886938559722039	2.2592353324012535e-34	-6.2885388977087775	4.042710399026711e-30	-5.6785844524253815	6.935843924601005e-37
ENSMUSG00000064345	mt-Nd2	ND2	17717	NADH dehydrogenase subunit 2	-4.305211689397068	1.2245739083052706e-32	0.4319603970528321	0.15242615913115792	-3.133466860599517	2.2305705103580108e-28
ENSMUSG00000073599	Ecscr	Ecscr	68545	endothelial cell surface expressed chemotaxis and apoptosis regulator	-6.604819011972946	1.285484687323199e-32	-0.05573915041147631	0.9529414131504416	-1.672237934062947	1.0231287095747267e-11
ENSMUSG00000060591	Ifitm2	Ifitm2	80876	interferon induced transmembrane protein 2	5.88867296691229	2.4835297925538243e-31	-4.103356786536805	0.190722291868516	-0.018771244048410813	0.9842472238010801
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-9.920451656936688	8.210034592711653e-31	0.23883231200112806	0.6471830818655758	-3.060246074707059	6.245302910118096e-22
ENSMUSG00000027848	Olfml3	Olfml3	99543	olfactomedin-like 3	-4.900762277611247	2.496895593523113e-30	-0.7325806870723425	0.0050572644484059084	-0.5109446702320092	0.03672500817505305
ENSMUSG00000047963	Stbd1	Stbd1	52331	starch binding domain 1	7.163894975345684	1.6636517607023613e-29	2.353188798597159	0.2237302647099761	5.342394291899502	4.221012827028867e-17
ENSMUSG00000064351	mt-Co1	COX1	17708	cytochrome c oxidase subunit I	2.960083285766809	1.957806356320458e-27	0.3983472851818951	0.23407438054726973	2.7268244224761804	1.0337217202304851e-26
ENSMUSG00000036172	Cd200r3	Cd200r3	74603	CD200 receptor 3	4.492454379668007	2.638686418579825e-27	-0.8900681068438785	0.4143229386286517	1.8872078242448245	1.7974057237934858e-8
ENSMUSG00000027315	Spint1	Spint1	20732	serine protease inhibitor, Kunitz type 1	8.85796227264156	2.1530679143711364e-25	8.078178248714229	1.1294608952577066e-19	-0.6765995036644739	0.6986878687575736
ENSMUSG00000038400	Pmepa1	Pmepa1	65112	prostate transmembrane protein, androgen induced 1	-3.2229893841434913	3.8131337484043625e-25	-0.8607450286241602	4.0709395884422285e-4	-0.7789574484549487	3.517373362528063e-4
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.1192570740854237	8.574520122782103e-24	0.17945193111113716	0.7208241849976204	-3.1379142445877015	5.231967669238752e-28
ENSMUSG00000032878	Ccdc85a	Ccdc85a	216613	coiled-coil domain containing 85A	8.542730562965266	1.706251545786287e-23	0.07092821427685168	1	1.4424020866505045	0.35716235713211153
ENSMUSG00000029810	Tmem176b	Tmem176b	65963	transmembrane protein 176B	-3.252766679470196	2.0954343017528756e-23	-0.11431642026967369	0.85483835223814	-0.41817496141057126	0.09094673119724037
ENSMUSG00000020100	Slc29a3	Slc29a3	71279	solute carrier family 29 (nucleoside transporters), member 3	2.6379287590658653	6.048172982589632e-23	0.48109135251737145	0.17787709854601913	0.790835334779903	5.295416040562585e-4
ENSMUSG00000047798	Cd300lf	Cd300lf	246746	CD300 molecule like family member F	4.97203823419022	1.179926510523916e-22	-1.1370405044614538	0.7410661686772629	3.553107487703921	9.562619769069029e-13
ENSMUSG00000022639	Dubr	NA	NA	NA	4.676101632719265	6.737632598040483e-22	2.780574622151273	4.970591720425719e-6	1.2942885171741871	0.027727889124686406
ENSMUSG00000023153	Tmem52	Tmem52	69671	transmembrane protein 52	5.538434731019669	7.9438203232859325e-22	1.9035522080752354	0.19825078954001568	3.7793220107930394	2.3014120657753906e-10
ENSMUSG00000093249	Gm24576	NA	NA	NA	7.307760792661963	9.362730381967553e-22	1.3603984956364785	0.7633833564604896	5.382831269177402	3.32183011836783e-11
ENSMUSG00000083563	Gm13340	NA	NA	NA	10.733467030924803	1.1322992039791527e-21	-0.606395016680049	0.8998155642294934	7.856964578771598	1.4465071595858836e-15
ENSMUSG00000027669	Gnb4	Gnb4	14696	guanine nucleotide binding protein (G protein), beta 4	6.579714181811686	1.2649144265254678e-21	-1.4165191259423393	0.7986959409060037	7.19238521831439	4.633363649042195e-28
ENSMUSG00000107511	Gm44440	NA	NA	NA	3.9764172838443708	2.5365257589546703e-21	-0.015218006423863787	0.9998434605019085	3.271750400105183	1.1004463744767757e-16
ENSMUSG00000084416	Rpl10a-ps1	NA	NA	NA	-8.782410594522291	3.502419629127405e-21	0.04893965979940018	0.9705849784351117	-1.62412877775716	1.4243092961579403e-7
ENSMUSG00000087153	Gm6483	NA	NA	NA	2.76453148054415	2.341275890358796e-20	0.7109966602475603	0.1418057297286362	2.190098916697918	1.4494330379213198e-15
ENSMUSG00000022816	Fstl1	Fstl1	14314	follistatin-like 1	4.737598492860704	6.852952485194326e-20	3.107984260452337	5.601144088965851e-6	0.7227273850232473	0.4763186966903048
ENSMUSG00000044103	Il1f9	Il1f9	215257	interleukin 1 family, member 9	-7.062170025153758	7.487795922295616e-20	-5.2422543765689	1.081526966822068e-12	-8.773273271367222	1.3075946026026971e-23
ENSMUSG00000044811	AF251705	Cd300c2	140497	CD300C molecule 2	2.3207953775671113	2.896645507359195e-19	0.575953960527579	0.05462477435701971	1.5029951921540323	2.3511230056369852e-11
ENSMUSG00000096449	Gm4076	NA	NA	NA	7.767697328590526	3.2193774279784463e-19	-0.08252392467622204	1	6.734912920607357	1.0640449059248457e-14
ENSMUSG00000103464	Gm38246	NA	NA	NA	5.999565019826652	3.2193774279784463e-19	-2.0224996156956636	0.7208241849976204	1.182662262497968	0.41181022101765974
ENSMUSG00000030054	Gp9	Gp9	54368	glycoprotein 9 (platelet)	-5.0702522232146245	7.598706525122525e-18	-1.4519820616161774	5.651548976993192e-4	0.7495071301772077	0.006433138154405448
ENSMUSG00000031446	Cul4a	Cul4a	99375	cullin 4A	2.7235133510746787	9.81716223570073e-18	1.4471140263655546	1.0326016654545168e-4	2.10419958920227	3.6496745597061657e-13
ENSMUSG00000042246	Tmc7	Tmc7	209760	transmembrane channel-like gene family 7	3.8238487133066537	1.011594347832049e-17	1.6965598147975647	0.025559811635828086	4.418399927275799	1.3244645465522379e-24
ENSMUSG00000093190	Gm22875	NA	NA	NA	6.964468247296842	1.977227046178125e-17	-0.9563411063559896	0.8780450821488623	1.4206679188871727	0.3657678376133987
ENSMUSG00000063696	Gm8730	NA	NA	NA	6.729501636370387	2.0175615844310237e-17	6.895450565200768	2.2627828911194527e-15	7.468709034347035	4.241230935702603e-24
ENSMUSG00000050299	Gm9843	NA	NA	NA	-2.7521578188447386	4.469320132955464e-17	-0.09403179929102505	0.9037740238070207	-1.8683115372040262	8.412582457431602e-13
ENSMUSG00000108237	Gm19757	Gm19757	100503536	predicted gene, 19757	-8.417745670568106	5.749125074480854e-17	-8.272400135081464	2.753593049977558e-11	-8.09700242112672	4.588636481503277e-19
ENSMUSG00000023367	Tmem176a	Tmem176a	66058	transmembrane protein 176A	-2.9398746601709838	5.939760631883573e-17	0.1628969311951866	0.7982020533171346	0.4833827654552206	0.06431505345533117
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	-6.327837165040246	6.089385450180705e-17	-0.2976487021017081	0.7148202814520681	-3.400409376586228	5.4861546674442265e-15
ENSMUSG00000001418	Glmp	Glmp	56700	glycosylated lysosomal membrane protein	-3.6505995097335258	8.939281206352792e-17	-0.299855880955267	0.6326923837991735	-0.5365521106650939	0.0747802870818136
ENSMUSG00000060019	Gm10073	NA	NA	NA	6.899142129966798	1.0986416253053625e-16	-0.11037568423907161	0.9998946068001608	5.939588106362984	1.4479063692102185e-11
ENSMUSG00000029915	Clec5a	Clec5a	23845	C-type lectin domain family 5, member a	-3.8949564420845175	1.7822691147225814e-16	-0.7116685667560028	0.11634296765414838	-4.002075289490889	4.702531376210319e-20
ENSMUSG00000007035	Msh5	Msh5	17687	mutS homolog 5	5.024558673439719	1.9783860639967874e-16	-0.2823180198182577	0.9662125741957497	0.08485730406211378	0.9700892461303057
