ENSMUSG	Orig_Symbol	Symbol	Entrezid	Genename	CAST_vs_B6_logFC	CAST_vs_B6_FDR	PWK_vs_B6_logFC	PWK_vs_B6_FDR	WSB_vs_B6_logFC	WSB_vs_B6_FDR
ENSMUSG00000062611	Rps3a2	NA	NA	NA	9.8105921137686245	1.632294167327985e-36	1.5333935799150653	0.2436452978226997	0.9684286734008026	0.7091421976817919
ENSMUSG00000082926	Gm8172	NA	NA	NA	8.572215256422444	3.8822712002727504e-36	-0.45662620537052495	0.8610190852019041	1.539272729409965	0.3728971217269212
ENSMUSG00000054702	Ap1s3	Ap1s3	252903	adaptor-related protein complex AP-1, sigma 3	-3.490303543423831	2.374342813365198e-34	-3.418184292971031	1.7031943680827477e-30	-0.06095214236810192	0.8269074912459488
ENSMUSG00000022817	Itgb5	Itgb5	16419	integrin beta 5	-4.479399988100447	4.0319657093262454e-33	-0.6186161787785226	2.4163521390141898e-4	0.19322135651554595	0.37839801475361406
ENSMUSG00000069892	9930111J21Rik2	9930111J21Rik2	245240	RIKEN cDNA 9930111J21 gene 2	-5.176762612770418	1.0208777353541175e-31	-5.948527652140593	1.2431463931880919e-29	-1.2888901285892054	4.490734858182914e-11
ENSMUSG00000071419	Rps15-ps2	NA	NA	NA	7.398785449196872	1.6795431989213892e-31	0.5001416283312377	0.7594401475848369	1.900973746356819	0.08993653727005747
ENSMUSG00000083483	Gm14044	NA	NA	NA	7.699021419005874	5.115089141782835e-30	-4.147270624127069	0.08233816847280465	1.4799034648934792	0.22897234473805017
ENSMUSG00000101776	Gm28268	NA	NA	NA	-4.037345150621548	7.581872587153603e-28	-2.85993976093608	9.651964544472729e-21	-0.39058792405288156	0.05025203117014408
ENSMUSG00000020717	Pecam1	Pecam1	18613	platelet/endothelial cell adhesion molecule 1	3.621686089102995	1.1817434831270158e-27	2.366444387135513	3.5890264857845006e-15	0.719749359236147	0.0575657172600954
ENSMUSG00000023341	Mx2	Mx2	17858	MX dynamin-like GTPase 2	3.7861895793100393	1.268267333283093e-27	3.100554543917782	1.4536447951881813e-21	0.2581786283891356	0.6541645777364019
ENSMUSG00000026458	Ppfia4	Ppfia4	68507	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4	-3.6592714198721423	2.1196855663237445e-26	-1.341916015443537	1.303496233203741e-10	0.047900517853229324	0.9001367092295741
ENSMUSG00000096979	Gm26880	NA	NA	NA	4.676742455715593	6.363931127303263e-26	1.4795153730321295	0.0012229529063572575	-3.9431693832337036	0.004509404787719429
ENSMUSG00000072692	Rpl37rt	Rpl37rt	100502825	ribosomal protein L37, retrotransposed	-6.236747681508012	6.902320894254594e-26	-9.873034668594983	2.2346821879166464e-25	-0.37251321922605657	0.09495545892215744
ENSMUSG00000108365	RP24-174G2.2	NA	NA	NA	-3.767839454129197	2.4182164247881275e-25	-0.21966127513516087	0.34040870928765854	-0.0877855620660251	0.8704316194263294
ENSMUSG00000069515	Lyz1	Lyz1	17110	lysozyme 1	6.4789350949872535	2.4182164247881275e-25	-4.308653158017417	0.07839806457300255	1.546902971406419	0.20746596852676544
ENSMUSG00000030124	Lag3	Lag3	16768	lymphocyte-activation gene 3	-3.611815886945421	7.418992325107544e-25	-5.892665845610806	1.9410754729020452e-26	-0.39402926973243435	0.06068192436887318
